YEAR,WEEK,TOTAL SPECIMENS,A (H1),A (Unable to Subtype),A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,PERCENT POSITIVE
2001,40,1154,0,0,4,0,3,1,0,0.693241
2001,41,1415,0,0,2,0,3,0,0,0.353357
2001,42,1468,0,0,3,0,5,0,0,0.544959
2001,43,1583,0,0,9,0,8,0,0,1.07391
2001,44,1704,1,0,6,0,6,0,0,0.762911
2001,45,1843,0,0,12,0,1,0,0,0.705372
2001,46,2096,0,0,37,0,8,1,0,2.19466
2001,47,2052,0,0,25,0,5,3,0,1.60819
2001,48,2401,0,0,50,0,23,1,0,3.08205
2001,49,2331,1,0,34,0,43,5,0,3.5607
2001,50,2434,2,0,39,0,69,2,0,4.60148
2001,51,2915,3,0,44,0,118,4,0,5.7976
2001,52,2621,0,0,51,0,168,1,0,8.39374
2002,1,3531,0,0,108,0,234,2,0,9.74228
2002,2,3900,0,0,144,0,390,6,0,13.8462
2002,3,4696,1,0,268,0,653,5,0,19.7402
2002,4,5816,4,0,387,0,840,12,0,21.3721
2002,5,6466,3,0,450,0,997,24,0,22.7962
2002,6,7191,6,0,613,0,1001,19,0,22.7924
2002,7,7572,4,0,615,0,1160,28,0,23.8642
2002,8,7358,11,0,538,0,1216,68,0,24.9117
2002,9,6217,8,0,384,0,947,86,0,22.921
2002,10,5368,7,0,264,0,730,136,0,21.1811
2002,11,4337,6,0,156,0,475,166,0,18.5151
2002,12,3763,2,0,103,0,254,210,0,15.1209
2002,13,3332,3,0,44,0,127,284,0,13.7455
2002,14,2660,3,0,20,0,72,235,0,12.406
2002,15,2329,4,0,17,0,40,192,0,10.863
2002,16,2001,6,0,18,0,12,226,0,13.0935
2002,17,1820,1,0,9,0,8,138,0,8.57143
2002,18,1643,1,0,11,0,7,149,0,10.2252
2002,19,1655,1,0,0,0,4,140,0,8.76133
2002,20,1467,1,0,0,0,1,86,0,5.99864
2002,21,1302,0,0,0,0,3,61,0,4.91551
2002,22,995,0,0,0,0,2,34,0,3.61809
2002,23,948,0,0,0,0,1,25,0,2.74262
2002,24,850,0,0,0,0,0,7,0,0.823529
2002,25,692,0,0,0,0,0,2,0,0.289017
2002,26,700,0,0,0,0,0,4,0,0.571429
2002,27,490,0,0,0,0,0,2,0,0.408163
2002,28,591,0,0,0,0,0,1,0,0.169205
2002,29,578,0,0,0,0,0,0,0,0
2002,30,601,0,0,0,0,1,1,0,0.332779
2002,31,530,0,0,0,0,0,0,0,0
2002,32,566,0,0,0,0,0,0,0,0
2002,33,516,0,0,0,0,0,0,0,0
2002,34,533,0,0,0,0,0,0,0,0
2002,35,588,0,0,0,0,0,1,0,0.170068
2002,36,482,0,0,0,0,0,0,0,0
2002,37,561,0,0,0,0,0,0,0,0
2002,38,475,0,0,1,0,1,1,0,0.631579
2002,39,391,0,0,0,0,0,2,0,0.511509
