YEAR,WEEK,TOTAL SPECIMENS,A (H1),A (Unable to Subtype),A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,PERCENT POSITIVE
1998,40,1407,0,0,2,0,0,0,0,0.142146
1998,41,1453,0,0,4,0,1,0,0,0.344116
1998,42,1654,1,0,0,0,2,0,0,0.181378
1998,43,1814,0,0,1,0,0,5,0,0.330761
1998,44,2051,0,0,12,0,6,0,0,0.877621
1998,45,2222,0,0,5,0,5,4,0,0.630063
1998,46,2051,0,0,4,0,0,4,0,0.390054
1998,47,1809,0,0,5,0,4,8,0,0.939746
1998,48,2397,0,0,11,0,6,11,0,1.16813
1998,49,2432,0,0,9,0,15,21,0,1.85033
1998,50,2428,1,0,12,0,15,14,0,1.72982
1998,51,2207,0,0,21,0,35,27,0,3.76076
1998,52,2706,1,0,47,0,81,31,0,5.91279
1999,1,3524,0,0,72,0,183,76,0,9.39274
1999,2,3889,1,0,151,0,311,111,0,14.7596
1999,3,4262,1,0,193,0,518,153,0,20.2956
1999,4,5210,1,0,222,0,658,269,0,22.0729
1999,5,6143,1,0,351,0,926,400,0,27.3156
1999,6,6574,2,0,317,0,1134,407,0,28.2933
1999,7,6723,9,0,262,0,1065,379,0,25.5094
1999,8,6616,1,0,250,0,1052,366,0,25.2267
1999,9,5933,1,0,184,0,868,334,0,23.3777
1999,10,4289,2,0,137,0,528,216,0,20.5875
1999,11,4014,5,0,100,0,346,176,0,15.6203
1999,12,3242,1,0,78,0,264,121,0,14.3122
1999,13,2712,0,0,42,0,121,61,0,8.25959
1999,14,2222,1,0,27,0,110,38,0,7.92079
1999,15,1721,1,0,15,0,75,20,0,6.44974
1999,16,1368,0,0,11,0,17,8,0,2.63158
1999,17,1108,0,0,5,0,20,3,0,2.52708
1999,18,982,0,0,3,0,10,4,0,1.73116
1999,19,801,0,0,0,0,5,4,0,1.1236
1999,20,618,0,0,0,0,6,1,0,1.13269
1999,21,239,0,0,0,0,7,0,0,2.92887
1999,22,97,0,0,0,0,1,0,0,1.03093
1999,23,20,0,0,0,0,0,0,0,0
1999,24,0,0,0,0,0,0,0,0,0
1999,25,0,0,0,0,0,0,0,0,0
1999,26,0,0,0,0,0,0,0,0,0
1999,27,0,0,0,0,0,0,0,0,0
1999,28,0,0,0,0,0,0,0,0,0
1999,29,0,0,0,0,0,0,0,0,0
1999,30,0,0,0,0,0,0,0,0,0
1999,31,0,0,0,0,0,0,0,0,0
1999,32,0,0,0,0,0,0,0,0,0
1999,33,0,0,0,0,0,0,0,0,0
1999,34,0,0,0,0,0,0,0,0,0
1999,35,0,0,0,0,0,0,0,0,0
1999,36,0,0,0,0,0,0,0,0,0
1999,37,0,0,0,0,0,0,0,0,0
1999,38,0,0,0,0,0,0,0,0,0
1999,39,0,0,0,0,0,0,0,0,0
