YEAR,WEEK,TOTAL SPECIMENS,A (H1),A (Unable to Subtype),A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,PERCENT POSITIVE
2000,40,1387,0,0,0,0,0,1,0,0.0720981
2000,41,1490,2,0,0,0,2,0,0,0.268456
2000,42,1691,1,0,0,0,1,2,0,0.236546
2000,43,1683,7,0,3,0,2,2,0,0.831848
2000,44,1964,10,0,1,0,2,3,0,0.814664
2000,45,1862,24,0,1,0,5,7,0,1.98711
2000,46,2183,17,0,1,0,12,13,0,1.96977
2000,47,2201,20,0,2,0,31,24,0,3.49841
2000,48,2505,31,0,1,0,30,36,0,3.91218
2000,49,2841,51,0,3,0,66,41,0,5.66702
2000,50,3275,61,0,3,0,107,55,0,6.90076
2000,51,3370,114,0,2,0,175,103,0,11.6914
2000,52,3310,118,0,0,0,209,132,0,13.8671
2001,1,3821,147,0,5,0,192,167,0,13.3735
2001,2,4563,203,0,5,0,329,275,0,17.7953
2001,3,5121,257,0,2,0,500,373,0,22.1051
2001,4,5729,286,0,5,0,550,489,0,23.2152
2001,5,5914,258,0,1,0,455,524,0,20.9334
2001,6,5619,186,0,3,0,291,587,0,18.9891
2001,7,4920,101,0,4,0,184,470,0,15.4268
2001,8,4571,74,0,5,0,121,437,0,13.9357
2001,9,4321,41,0,7,0,70,377,0,11.4557
2001,10,3793,36,0,1,0,39,197,0,7.19747
2001,11,3368,24,0,2,0,21,152,0,5.90855
2001,12,3132,6,0,3,0,19,153,0,5.77905
2001,13,2788,16,0,1,0,9,96,0,4.3759
2001,14,2386,5,0,0,0,5,68,0,3.26907
2001,15,2020,0,0,1,0,7,37,0,2.22772
2001,16,1825,2,0,0,0,1,44,0,2.57534
2001,17,1640,0,0,0,0,0,21,0,1.28049
2001,18,1528,0,0,0,0,1,8,0,0.589005
2001,19,1359,0,0,0,0,1,6,0,0.515085
2001,20,1317,0,0,0,0,0,9,0,0.683371
2001,21,1125,0,0,0,0,1,0,0,0.0888889
2001,22,977,0,0,0,0,2,0,0,0.204708
2001,23,523,1,0,0,0,0,0,0,0.191205
2001,24,38,0,0,0,0,1,0,0,2.63158
2001,25,50,0,0,0,0,0,0,0,0
2001,26,52,0,0,0,0,0,0,0,0
2001,27,23,0,0,0,0,0,0,0,0
2001,28,37,0,0,0,0,0,0,0,0
2001,29,22,0,0,0,0,0,0,0,0
2001,30,26,0,0,0,0,0,0,0,0
2001,31,24,0,0,0,0,0,0,0,0
2001,32,24,0,0,0,0,0,0,0,0
2001,33,43,0,0,0,0,0,0,0,0
2001,34,34,0,0,0,0,0,0,0,0
2001,35,16,0,0,0,0,0,0,0,0
2001,36,19,0,0,0,0,0,0,0,0
2001,37,9,0,0,0,0,0,0,0,0
2001,38,7,0,0,0,0,0,0,0,0
2001,39,0,0,0,0,0,0,0,0,0
