YEAR,WEEK,TOTAL SPECIMENS,A (H1),A (Unable to Subtype),A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,PERCENT POSITIVE
2011,40,223,0,0,0,0,0,0,0,0
2011,41,301,0,0,0,0,0,0,0,0
2011,42,328,0,0,1,0,0,0,0,0.3
2011,43,314,0,0,0,0,1,0,0,0.32
2011,44,334,0,0,0,0,0,0,0,0
2011,45,373,0,0,1,0,0,0,0,0.27
2011,46,405,0,0,1,0,1,1,0,0.74
2011,47,379,0,0,1,0,0,0,0,0.26
2011,48,416,0,0,0,0,0,0,0,0
2011,49,227,0,0,0,1,0,0,0,0.44
2011,50,205,0,0,2,0,0,0,0,0.98
2011,51,259,0,0,3,0,0,0,0,1.16
2011,52,277,0,0,0,0,0,0,0,0
2012,1,263,0,0,1,0,1,0,0,0.76
2012,2,290,0,0,2,0,1,1,0,1.38
2012,3,262,0,0,7,0,1,1,0,3.44
2012,4,260,0,0,2,1,0,1,0,1.54
2012,5,296,0,0,7,2,1,6,0,5.41
2012,6,295,0,0,4,0,2,2,0,2.71
2012,7,310,0,0,18,9,5,7,0,12.58
2012,8,273,0,0,4,6,11,2,0,8.42
2012,9,322,0,0,13,16,6,7,0,13.04
2012,10,252,0,0,10,16,9,5,0,15.87
2012,11,232,0,0,16,17,21,8,0,26.72
2012,12,248,0,0,21,26,17,10,0,29.84
2012,13,228,0,0,8,16,4,5,0,14.47
2012,14,293,0,0,13,10,6,8,0,12.63
2012,15,192,0,0,14,8,5,15,0,21.88
2012,16,209,0,0,9,8,10,10,0,17.7
2012,17,157,0,0,9,1,7,10,0,17.2
2012,18,145,0,0,10,3,6,19,0,26.21
2012,19,161,0,0,17,2,13,9,0,25.47
2012,20,119,0,0,7,0,4,8,0,15.97
2012,21,104,0,0,3,1,4,7,0,14.42
2012,22,92,0,0,2,0,0,4,0,6.52
2012,23,90,0,0,3,1,1,0,0,5.56
2012,24,98,0,0,1,0,2,3,0,6.12
2012,25,70,0,0,3,0,0,0,0,4.29
2012,26,83,0,0,0,0,1,1,0,2.41
2012,27,69,0,0,0,0,0,0,0,0
2012,28,55,0,0,1,0,1,0,0,3.64
2012,29,52,0,0,0,0,0,0,0,0
2012,30,54,0,0,2,0,0,1,0,5.56
2012,31,42,0,0,0,0,0,0,0,0
2012,32,60,0,0,3,0,0,0,0,5
2012,33,57,0,0,1,1,0,0,0,3.51
2012,34,67,0,0,0,0,0,0,0,0
2012,35,68,0,0,1,0,0,1,0,2.94
2012,36,90,0,0,0,0,0,0,0,0
2012,37,94,0,0,0,0,0,3,0,3.19
2012,38,106,0,0,0,0,0,1,0,0.94
2012,39,111,0,0,0,0,0,0,0,0
