YEAR,WEEK,TOTAL SPECIMENS,A (H1),A (Unable to Subtype),A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,PERCENT POSITIVE
2012,40,387,0,0,1,1,0,1,0,0.78
2012,41,403,0,0,1,1,0,3,0,1.24
2012,42,467,0,0,9,0,4,3,0,3.43
2012,43,443,0,0,10,1,3,4,0,4.06
2012,44,339,0,0,8,0,3,2,0,3.83
2012,45,451,0,0,4,1,6,4,0,3.33
2012,46,504,0,0,20,0,18,4,0,8.33
2012,47,547,0,0,29,0,17,5,0,9.32
2012,48,686,0,0,77,2,40,12,0,19.1
2012,49,932,0,0,113,4,65,10,0,20.6
2012,50,1376,0,0,192,7,194,15,0,29.65
2012,51,1750,0,0,359,3,311,27,0,40
2012,52,1850,0,0,326,7,299,24,0,35.46
2013,1,1989,0,0,224,8,353,40,0,31.42
2013,2,2460,0,0,267,22,390,63,0,30.16
2013,3,2782,0,0,214,23,351,76,0,23.87
2013,4,2134,0,0,124,20,209,59,0,19.31
2013,5,1893,0,0,110,13,163,69,0,18.75
2013,6,1455,0,0,33,12,81,119,0,16.84
2013,7,1285,0,0,23,4,67,133,0,17.67
2013,8,1148,0,0,17,1,57,139,0,18.64
2013,9,1131,0,0,6,2,30,131,0,14.94
2013,10,1008,0,0,4,2,24,118,0,14.68
2013,11,1066,0,0,1,1,14,151,0,15.67
2013,12,979,0,0,4,1,14,139,0,16.14
2013,13,878,0,0,4,4,6,131,0,16.51
2013,14,724,0,0,1,2,5,80,0,12.15
2013,15,686,0,0,0,1,1,70,0,10.5
2013,16,586,0,0,1,1,1,41,0,7.51
2013,17,525,0,0,0,1,1,24,0,4.95
2013,18,562,0,0,1,0,0,21,0,3.91
2013,19,569,0,0,0,2,0,7,0,1.58
2013,20,420,0,0,0,0,2,4,0,1.43
2013,21,454,0,0,1,1,1,1,0,0.88
2013,22,383,0,0,0,0,0,1,0,0.26
2013,23,388,0,0,2,2,0,0,0,1.03
2013,24,341,0,0,0,1,0,0,0,0.29
2013,25,339,0,0,0,1,0,1,0,0.59
2013,26,284,0,0,0,0,0,0,0,0
2013,27,289,0,0,0,1,0,0,0,0.35
2013,28,288,0,0,0,0,0,0,0,0
2013,29,236,0,0,0,1,0,0,0,0.42
2013,30,288,0,0,0,0,1,0,0,0.35
2013,31,286,0,0,0,0,0,0,0,0
2013,32,291,0,0,0,0,0,0,0,0
2013,33,267,0,0,0,0,0,0,0,0
2013,34,289,0,0,0,0,0,0,0,0
2013,35,281,0,0,1,1,0,0,0,0.71
2013,36,267,0,0,2,0,0,0,0,0.75
2013,37,310,0,0,0,1,0,0,0,0.32
2013,38,357,0,0,2,2,0,0,0,1.12
2013,39,518,0,0,2,1,1,1,0,0.97
