YEAR,WEEK,TOTAL SPECIMENS,A (H1),A (Unable to Subtype),A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,PERCENT POSITIVE
2010,40,300,0,0,0,0,3,0,0,1
2010,41,262,0,0,0,0,1,1,0,0.76
2010,42,327,0,0,2,0,0,0,0,0.61
2010,43,294,0,0,2,0,2,0,0,1.36
2010,44,360,0,0,7,0,1,1,0,2.5
2010,45,407,0,0,9,0,5,0,0,3.44
2010,46,421,0,0,14,0,12,0,0,6.18
2010,47,534,0,0,10,0,17,1,0,5.24
2010,48,654,0,0,19,0,17,0,0,5.5
2010,49,538,0,0,43,4,16,1,0,11.9
2010,50,697,0,0,49,4,19,2,0,10.62
2010,51,776,0,0,87,0,44,7,0,17.78
2010,52,883,0,0,135,1,78,2,0,24.46
2011,1,1164,0,0,132,8,103,9,0,21.65
2011,2,989,0,0,120,9,92,10,0,23.36
2011,3,996,0,0,113,8,101,6,0,22.89
2011,4,1040,0,0,86,22,126,32,0,25.58
2011,5,996,0,0,70,18,119,52,0,26
2011,6,1013,0,0,71,25,128,50,0,27.05
2011,7,1136,0,0,88,28,157,72,0,30.37
2011,8,1139,0,0,68,21,151,71,0,27.3
2011,9,983,0,0,69,12,113,56,0,25.43
2011,10,893,0,0,43,11,75,55,0,20.6
2011,11,858,0,0,30,3,54,56,0,16.67
2011,12,732,0,0,28,8,47,53,0,18.58
2011,13,615,0,0,17,5,46,32,0,16.26
2011,14,632,0,0,11,4,15,49,0,12.5
2011,15,561,0,0,12,7,9,28,0,9.98
2011,16,432,0,0,4,3,3,16,0,6.02
2011,17,294,0,0,5,2,5,4,0,5.44
2011,18,323,0,0,0,0,0,4,0,1.24
2011,19,239,0,0,0,0,0,2,0,0.84
2011,20,307,0,0,0,0,0,1,0,0.33
2011,21,221,0,0,0,1,0,1,0,0.9
2011,22,207,0,0,0,0,0,0,0,0
2011,23,188,0,0,0,0,0,0,0,0
2011,24,153,0,0,0,0,0,0,0,0
2011,25,170,0,0,0,0,0,1,0,0.59
2011,26,127,0,0,0,0,0,0,0,0
2011,27,128,0,0,0,0,0,0,0,0
2011,28,126,0,0,1,0,0,0,0,0.79
2011,29,122,0,0,2,0,0,0,0,1.64
2011,30,90,0,0,1,0,0,0,0,1.11
2011,31,123,0,0,0,0,0,0,0,0
2011,32,129,0,0,0,0,0,1,0,0.78
2011,33,49,0,0,0,0,0,0,0,0
2011,34,121,0,0,0,0,0,0,0,0
2011,35,119,0,0,0,0,0,0,0,0
2011,36,56,0,0,0,0,0,0,0,0
2011,37,157,0,0,0,0,0,0,0,0
2011,38,158,0,0,0,0,1,0,0,0.63
2011,39,253,0,0,0,0,0,0,0,0
